species,media,element,locus_tag,essentiality
uniformis,liquid,gene,BU_ATCC8492_00001,essential
uniformis,solid,gene,BU_ATCC8492_00001,essential
uniformis,liquid,gene,BU_ATCC8492_00002,not_essential
uniformis,solid,gene,BU_ATCC8492_00002,not_essential
uniformis,liquid,gene,BU_ATCC8492_00003,not_essential
uniformis,solid,gene,BU_ATCC8492_00003,not_essential
uniformis,liquid,gene,BU_ATCC8492_00004,not_essential
uniformis,solid,gene,BU_ATCC8492_00004,not_essential
uniformis,liquid,gene,BU_ATCC8492_00005,not_essential
uniformis,solid,gene,BU_ATCC8492_00005,not_essential
uniformis,liquid,gene,BU_ATCC8492_00006,not_essential
uniformis,solid,gene,BU_ATCC8492_00006,not_essential
uniformis,liquid,gene,BU_ATCC8492_00007,not_essential
uniformis,solid,gene,BU_ATCC8492_00007,not_essential
uniformis,liquid,gene,BU_ATCC8492_00008,not_essential
uniformis,solid,gene,BU_ATCC8492_00008,not_essential
uniformis,liquid,gene,BU_ATCC8492_00009,not_essential
uniformis,solid,gene,BU_ATCC8492_00009,not_essential
uniformis,liquid,gene,BU_ATCC8492_00010,not_essential
uniformis,solid,gene,BU_ATCC8492_00010,not_essential
uniformis,liquid,gene,BU_ATCC8492_00011,not_essential
uniformis,solid,gene,BU_ATCC8492_00011,not_essential
uniformis,liquid,gene,BU_ATCC8492_00012,not_essential
uniformis,solid,gene,BU_ATCC8492_00012,not_essential
uniformis,liquid,gene,BU_ATCC8492_00013,not_essential
uniformis,solid,gene,BU_ATCC8492_00013,not_essential
uniformis,liquid,gene,BU_ATCC8492_00014,not_essential
uniformis,solid,gene,BU_ATCC8492_00014,not_essential
uniformis,liquid,gene,BU_ATCC8492_00015,not_essential
uniformis,solid,gene,BU_ATCC8492_00015,not_essential
uniformis,liquid,gene,BU_ATCC8492_00016,not_essential
uniformis,solid,gene,BU_ATCC8492_00016,not_essential
uniformis,liquid,gene,BU_ATCC8492_00017,not_essential
uniformis,solid,gene,BU_ATCC8492_00017,not_essential
uniformis,liquid,gene,BU_ATCC8492_00018,not_essential
uniformis,solid,gene,BU_ATCC8492_00018,not_essential
uniformis,liquid,gene,BU_ATCC8492_00019,not_essential
uniformis,solid,gene,BU_ATCC8492_00019,not_essential
uniformis,liquid,gene,BU_ATCC8492_00020,not_essential
uniformis,solid,gene,BU_ATCC8492_00020,not_essential
uniformis,liquid,gene,BU_ATCC8492_00021,not_essential
uniformis,solid,gene,BU_ATCC8492_00021,not_essential
uniformis,liquid,gene,BU_ATCC8492_00022,not_essential
uniformis,solid,gene,BU_ATCC8492_00022,not_essential
uniformis,liquid,gene,BU_ATCC8492_00023,not_essential
uniformis,solid,gene,BU_ATCC8492_00023,not_essential
uniformis,liquid,gene,BU_ATCC8492_00024,not_essential
uniformis,solid,gene,BU_ATCC8492_00024,not_essential
uniformis,liquid,gene,BU_ATCC8492_00025,not_essential
uniformis,solid,gene,BU_ATCC8492_00025,not_essential
uniformis,liquid,gene,BU_ATCC8492_00026,not_essential
uniformis,solid,gene,BU_ATCC8492_00026,not_essential
uniformis,liquid,gene,BU_ATCC8492_00027,not_essential
uniformis,solid,gene,BU_ATCC8492_00027,not_essential
uniformis,liquid,gene,BU_ATCC8492_00028,not_essential
uniformis,solid,gene,BU_ATCC8492_00028,not_essential
uniformis,liquid,gene,BU_ATCC8492_00029,not_essential
uniformis,solid,gene,BU_ATCC8492_00029,not_essential
uniformis,liquid,gene,BU_ATCC8492_00030,not_essential
uniformis,solid,gene,BU_ATCC8492_00030,not_essential
uniformis,liquid,gene,BU_ATCC8492_00031,not_essential
uniformis,solid,gene,BU_ATCC8492_00031,not_essential
uniformis,liquid,gene,BU_ATCC8492_00032,not_essential
uniformis,solid,gene,BU_ATCC8492_00032,not_essential
uniformis,liquid,gene,BU_ATCC8492_00033,essential_liquid
uniformis,solid,gene,BU_ATCC8492_00033,essential_liquid
uniformis,liquid,gene,BU_ATCC8492_00034,not_essential
uniformis,solid,gene,BU_ATCC8492_00034,not_essential
uniformis,liquid,gene,BU_ATCC8492_00035,not_essential
uniformis,solid,gene,BU_ATCC8492_00035,not_essential
uniformis,liquid,gene,BU_ATCC8492_00036,not_essential
uniformis,solid,gene,BU_ATCC8492_00036,not_essential
uniformis,liquid,gene,BU_ATCC8492_00037,not_essential
uniformis,solid,gene,BU_ATCC8492_00037,not_essential
uniformis,liquid,gene,BU_ATCC8492_00038,not_essential
uniformis,solid,gene,BU_ATCC8492_00038,not_essential
uniformis,liquid,gene,BU_ATCC8492_00039,not_essential
uniformis,solid,gene,BU_ATCC8492_00039,not_essential
uniformis,liquid,gene,BU_ATCC8492_00040,not_essential
uniformis,solid,gene,BU_ATCC8492_00040,not_essential
uniformis,liquid,gene,BU_ATCC8492_00041,not_essential
uniformis,solid,gene,BU_ATCC8492_00041,not_essential
uniformis,liquid,gene,BU_ATCC8492_00042,not_essential
uniformis,solid,gene,BU_ATCC8492_00042,not_essential
uniformis,liquid,gene,BU_ATCC8492_00043,not_essential
